X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-70.968284999499232,42.2554700001509,2743,3314,3314,Palmer St @ Bowes Ave,,42.25547,-70.968285,,,0,,0,{A70583ED-420B-476E-9E2B-BFBC4CFC3E73},,,,
-70.969555999126811,42.256323999759488,2744,3315,3315,Palmer St @ Roach St,,42.256324,-70.969556,,,0,,0,{9A3B7065-F2B9-45F6-B46C-0BAD66DCF2C2},,,,
-70.970663999025263,42.257225999906446,2745,3316,3316,Palmer St @ Brockton Ave,,42.257226,-70.970664,,,0,,0,{4882C08D-BE87-4D9F-A6A0-2719307BA97D},,,,
-70.971833000535,42.257964000405153,2746,3317,3317,Palmer St @ Empire St,,42.257964,-70.971833,,,0,,0,{9D96661F-B8F7-4D4F-A7B2-612CA5102007},,,,
-70.973252000419876,42.258354999673848,2747,3318,3318,Palmer St @ Roanoke St,,42.258355,-70.973252,,,0,,0,{F353AD96-DD02-4AAF-AD3F-2D91471B7AC9},,,,
-71.063639000002013,42.288313000218793,2748,332,332,Dorchester Ave @ Banton St,,42.288313,-71.063639,,,0,,0,{0906491B-C7D4-488B-85E4-2A751752375B},,,,
-70.975008000568096,42.258635000896177,2749,3320,3320,Palmer St opp Oakwood Rd,,42.258635,-70.975008,,,0,,0,{0E3C7D16-9AA0-473E-BF86-6DFBCA36B35C},,,,
-70.97588200032628,42.258773000808048,2750,3321,3321,Palmer St opp Wilgus Rd,,42.258773,-70.975882,,,0,,0,{856A2F82-0264-4056-B88E-14A22F2205F4},,,,
-70.978088999650609,42.259877999308721,2751,3322,3322,Palmer St opp Utica St,,42.259878,-70.978089,,,0,,0,{3BAB79E1-7253-414E-AF08-EADA5B3EDBB2},,,,
-70.978562000469566,42.260826999643847,2752,3323,3323,Palmer St @ Sea St,,42.260827,-70.978562,,,0,,0,{2DB96737-A240-45D9-A947-670475F4BFBC},,,,
-71.00278000047355,42.249637000691862,2753,33241,33241,Granite St @ Hancock St,,42.249637,-71.00278,,,0,,0,{47AAC617-6811-4D64-9F4E-EA3F8D8B3AC2},,,,
-71.002111000375677,42.248742000121162,2754,3326,3326,1445 Hancock St,,42.248742,-71.002111,,,0,,0,{C4EA122B-B00E-4FC0-8E8E-D06AFD59CC33},,,,
-71.000491001052737,42.245845000305366,2755,3327,3327,Hancock St @ Hancock Court,,42.245845,-71.000491,,,0,,0,{4262223D-03DE-444F-8100-C52FB3FB2D49},,,,
-71.00151,42.244853999799126,2756,3328,3328,School St opp Gay St,,42.244854,-71.00151,,,0,,0,{8C317FBC-BE8D-43F7-BE5E-1BE73B3AA21A},,,,
-71.003612001113297,42.241967999705039,2757,3330,3330,Franklin St @ Water St,,42.241968,-71.003612,,,0,,0,{8A1C2300-E0D8-45D7-8ADB-E2EA44D43F03},,,,
-71.005941000400227,42.240824999271332,2758,3331,3331,Water St @ Pleasant St,,42.240825,-71.005941,,,0,,0,{15665A04-DBCF-44F8-9469-DD1197B2180E},,,,
-71.011503999491296,42.241581999146071,2759,3332,3332,Water St @ Lincoln Hancock Community School,,42.241582,-71.011504,,,0,,0,{D4DF028C-6032-4066-8336-C0039305EA60},,,,
-71.0086360011138,42.240883998808805,2760,3333,3333,Water St @ Quincy St,,42.240884,-71.008636,,,0,,0,{BD30E94D-8F11-4829-B5EA-F29771D228B0},,,,
-71.012967000436973,42.241933999991922,2761,3335,3335,Water St @ Gordon ter,,42.241934,-71.012967,,,0,,0,{62DE59E4-9236-469C-8791-8F7889477DF3},,,,
-71.015448999381022,42.242473999376557,2762,3336,3336,Copeland St @ Granite St,,42.242474,-71.015449,,,0,,0,{9482A903-32D5-4E1C-BB88-C4D09A0CA921},,,,
-71.017187000568669,42.242612999477281,2763,3337,3337,35 Copeland St,,42.242613,-71.017187,,,0,,0,{E4990E9F-ED0A-4B90-BDD8-EDFAB2E4CE72},,,,
-71.019400999688145,42.242811999734997,2764,3338,3338,Copeland St @ Buckley St,,42.242812,-71.019401,,,0,,0,{F423AA65-7861-4FE3-90EE-533027AB8120},,,,
-71.022767001036868,42.243279000062607,2765,3339,3339,165 Copeland St,,42.243279,-71.022767,,,0,,0,{60FA3A5E-0EDE-41A1-AC0C-148392D1E9F8},,,,
-71.064488999230875,42.284651999761763,2766,334,334,Ashmont Station,,42.284652,-71.064489,,,0,place-asmnl,0,{640CF1E5-BA2C-4952-A4BB-00F0568C2E5A},,,,
-71.024664000565537,42.244348000069415,2767,3341,3341,Copeland St @ Furnace Brook Pwky,,42.244348,-71.024664,,,0,,0,{3CFAB2C6-AA2D-4FFB-8908-69AB75DE1EEB},,,,
-71.02646500043052,42.244964999199134,2768,3342,3342,Copeland St @ Cross St,,42.244965,-71.026465,,,0,,0,{D48C0B8D-6106-4642-A6BF-A60B9E4982DF},,,,
-71.027722000382852,42.245293999863968,2769,3343,3343,Copeland St opp Furnace Ave,,42.245294,-71.027722,,,0,,0,{30817DFD-F498-4FC3-A658-92780E6F543B},,,,
-71.030007001218095,42.245476000371347,2770,3344,3344,Copeland St @ Badgers Ln,,42.245476,-71.030007,,,0,,0,{AED396C8-B194-435B-B57A-75913E48B54B},,,,
-71.031757001112425,42.245523999670766,2771,3345,3345,Willard St @ Copeland St,,42.245524,-71.031757,,,0,,0,{53D817DA-EC34-4D04-B554-091C489394C2},,,,
-71.033302000750311,42.247336000268319,2772,3347,3347,Willard St opp California Ave,,42.247336,-71.033302,,,0,,0,{60B084BC-135E-416F-8DCA-CD412ED0D2D8},,,,
-71.035059998109361,42.249486999803409,2773,3348,3348,Willard St @ Rogers St,,42.249487,-71.03506,,,0,,0,{C564FE6A-9503-4EB7-ACCB-91176536BAC4},,,,
-71.036492999328772,42.251506999551445,2774,3349,3349,Willard St @ Robertson St,,42.251507,-71.036493,,,0,,0,{A1044062-8679-4D06-84D4-EB567940C44F},,,,
-71.035970999488057,42.252154999698945,2775,3350,3350,Robertson St @ Quarry St,,42.252155,-71.035971,,,0,,0,{E4CC3B86-1D9F-4D5C-899D-61CB109BBD2B},,,,
-71.035169999733583,42.253016000087868,2776,3351,3351,Robertson St @ Connell St,,42.253016,-71.03517,,,0,,0,{C4AB7536-1928-4579-8A30-D4AA54C8A4F1},,,,
-71.034186999086998,42.254135000093804,2777,3352,3352,Robertson St opp Ellis St,,42.254135,-71.034187,,,0,,0,{832C3B5F-9B32-4E5B-AA9D-00763CE090E1},,,,
