,LICENSENO,LICENSEDTTM,ISSDTTM,EXPDTTM,LICSTATUS,LICCATDESC,PRIMAPPLICANT,CONTACT,DBANAME,BUSINESSNAME,Manager,TOTALCAPACITY,FEEAMOUNT,CAPACITY,ENDTIME,NUMBEROFUNITS,Neighborhood,CAL_POLICEDISTRICTCODE,CAL_UNITTYPECODE,UnitTypeDescript,TotalEntCapacity,STNO,STNOHI,Address,CITY,STATE,ZIP,Location,Lat,Long
2700,CAL-132959,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Brian Stiglets,,Best Western Boston,Longwood Hotel Corp.,Brian Stiglets,695,0.0,0,2:00 AM,5,Roxbury/Dorchester,B-2,InstVocal,Instrumental/Vocal,695,342,,  Longwood AV,Boston,MA,2115,"['42.338216000', '-71.106561000']",42.338216000,-71.106561000
2701,CAL-132959,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Brian Stiglets,,Best Western Boston,Longwood Hotel Corp.,Brian Stiglets,695,1740.0,695,2:00 AM,3,Roxbury/Dorchester,B-2,WidescrnTV,Widescreen Television,695,342,,  Longwood AV,Boston,MA,2115,"['42.338216000', '-71.106561000']",42.338216000,-71.106561000
2702,CAL-132959,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Brian Stiglets,,Best Western Boston,Longwood Hotel Corp.,Brian Stiglets,695,0.0,0,2:00 AM,1,Roxbury/Dorchester,B-2,DJ,Disc Jockey,695,342,,  Longwood AV,Boston,MA,2115,"['42.338216000', '-71.106561000']",42.338216000,-71.106561000
2703,CAL-132959,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Brian Stiglets,,Best Western Boston,Longwood Hotel Corp.,Brian Stiglets,695,250.0,0,2:00 AM,1,Roxbury/Dorchester,B-2,ExhibTrade,Exhibition/Trade Show,695,342,,  Longwood AV,Boston,MA,2115,"['42.338216000', '-71.106561000']",42.338216000,-71.106561000
2704,CAL-132959,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Brian Stiglets,,Best Western Boston,Longwood Hotel Corp.,Brian Stiglets,695,0.0,0,2:00 AM,1,Roxbury/Dorchester,B-2,CassetteCD,Cassette/CD Player,695,342,,  Longwood AV,Boston,MA,2115,"['42.338216000', '-71.106561000']",42.338216000,-71.106561000
2705,CAL-132959,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Brian Stiglets,,Best Western Boston,Longwood Hotel Corp.,Brian Stiglets,695,0.0,0,2:00 AM,161,Roxbury/Dorchester,B-2,TV,"Television (under 27"")",695,342,,  Longwood AV,Boston,MA,2115,"['42.338216000', '-71.106561000']",42.338216000,-71.106561000
2706,CAL-132959,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Brian Stiglets,,Best Western Boston,Longwood Hotel Corp.,Brian Stiglets,695,180.0,0,2:00 AM,1,Roxbury/Dorchester,B-2,DVDVCR,DVD/VCR,695,342,,  Longwood AV,Boston,MA,2115,"['42.338216000', '-71.106561000']",42.338216000,-71.106561000
2707,CAL-132960,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephanie Millen,,Ristorante Euno,"119 Salem Street, Inc.",Stephanie Millen,46,0.0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,46,119,121,  Salem ST,Boston,MA,2113,"['42.364531000', '-71.055371000']",42.364531000,-71.055371000
2708,CAL-132960,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephanie Millen,,Ristorante Euno,"119 Salem Street, Inc.",Stephanie Millen,46,0.0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,46,119,121,  Salem ST,Boston,MA,2113,"['42.364531000', '-71.055371000']",42.364531000,-71.055371000
2709,CAL-132960,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephanie Millen,,Ristorante Euno,"119 Salem Street, Inc.",Stephanie Millen,46,0.0,46,1:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,46,119,121,  Salem ST,Boston,MA,2113,"['42.364531000', '-71.055371000']",42.364531000,-71.055371000
2710,CAL-132960,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephanie Millen,,Ristorante Euno,"119 Salem Street, Inc.",Stephanie Millen,46,0.0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,46,119,121,  Salem ST,Boston,MA,2113,"['42.364531000', '-71.055371000']",42.364531000,-71.055371000
